Session_Id,Condition,Participant_Id,Connectedness,Comm_Effectiveness,Info_Exchange,Social_Cohesion,Satisfaction,Trust,Subj_Connection,Viability,Psych_Safety
1,0,CAT1DS,3.25,4.0,6.0,3.0,5.0,3.75,3.5,3.25,3.7142857142857144
1,0,DOG1DS,3.0,2.7,5.0,2.0,4.0,2.5,2.5,3.5,2.5714285714285716
2,1,DOG2DS,2.75,4.0,7.0,4.0,5.0,3.25,3.5,5.0,3.7142857142857144
2,1,CAT2DS,1.5,2.5,7.0,3.0,5.0,3.0,3.0,4.75,3.857142857142857
3,0,DOG3DS,2.75,5.0,7.0,3.0,5.0,5.0,5.0,4.0,5.0
3,0,CAT3DS,2.25,3.9,7.0,2.5,5.0,4.5,3.0,3.75,4.857142857142857
4,1,CAT4DS,2.0,3.3,5.0,3.0,3.3333333333333335,3.5,2.0,3.25,3.142857142857143
4,1,DOG4DS,1.0,2.0,2.0,3.5,3.6666666666666665,2.5,1.0,3.0,3.142857142857143
5,0,DOG5DS,4.25,3.2,5.0,3.0,4.0,2.25,3.5,3.5,3.4285714285714284
5,0,CAT5DS,2.25,3.3,7.0,1.0,5.0,3.5,2.5,4.5,4.142857142857143
6,0,DOG6DS,2.25,2.5,4.0,2.0,3.3333333333333335,2.5,2.5,3.0,3.2857142857142856
6,0,CAT6DS,2.0,3.1,5.0,1.5,4.0,2.5,2.5,3.75,4.142857142857143
7,0,DOG7DS,1.5,2.1,3.0,3.0,4.0,2.0,3.0,3.75,2.857142857142857
7,0,CAT7DS,4.0,3.6,5.333333333333333,2.5,4.0,4.0,2.5,4.0,4.0
8,1,DOG8DS,2.0,3.6,6.0,3.5,5.0,4.25,3.0,4.0,4.142857142857143
8,1,CAT8DS,1.0,4.6,6.333333333333333,1.5,5.0,3.25,3.5,4.25,4.142857142857143
9,1,CAT9DS,1.75,2.6,4.666666666666667,2.0,4.0,3.0,4.0,3.5,3.4285714285714284
10,0,DOG10Ds,1.5,2.7,5.333333333333333,3.0,4.0,3.75,2.0,2.5,3.2857142857142856
10,0,CAT10DS,2.0,3.5,4.666666666666667,2.0,4.0,3.25,3.5,3.25,3.857142857142857
11,0,DOG11DS,1.75,3.5,7.0,2.0,4.0,2.5,2.0,3.5,3.7142857142857144
11,0,CAT11DS,2.5,4.3,5.666666666666667,3.0,5.0,4.5,3.5,4.5,4.142857142857143
12,0,CAT12DS,4.0,3.8,6.0,3.0,4.0,3.5,3.5,3.75,3.4285714285714284
12,0,DOG12DS,2.25,2.9,5.666666666666667,2.0,4.0,3.0,2.5,3.5,3.7142857142857144
13,1,CAT13DS,3.75,3.5,5.666666666666667,3.0,4.333333333333333,4.0,3.0,3.75,4.0
14,1,DOG14DS,1.5,3.1,5.666666666666667,3.0,4.0,3.25,3.0,3.25,4.142857142857143
14,1,CAT14DS,2.75,3.1,4.666666666666667,2.0,4.0,3.25,3.0,3.25,3.7142857142857144
15,1,DOG15DS,4.25,4.2,5.666666666666667,3.0,5.0,4.0,3.0,4.0,3.7142857142857144
15,1,cat15ds,3.5,4.3,7.0,3.0,4.0,4.0,4.0,3.5,4.428571428571429
16,1,CAT16DS,4.25,4.7,6.0,4.0,4.0,3.5,3.5,4.75,3.7142857142857144
16,1,DOG16DS,2.75,2.4,2.6666666666666665,2.0,4.0,3.0,2.5,3.0,3.7142857142857144
17,1,CAT17DS,7.0,5.0,7.0,3.0,5.0,5.0,5.0,4.0,5.0
17,1,DoG17_DS,6.5,5.0,7.0,5.0,5.0,5.0,4.5,5.0,5.0
18,1,DOG18DS,1.5,2.9,6.0,3.0,5.0,3.0,2.5,5.0,5.0
18,1,CAT18DS,1.75,2.5,6.0,2.0,4.0,3.0,2.5,4.0,4.0
19,0,DOG19DS,2.5,3.6,6.0,2.0,4.0,4.0,2.5,4.0,4.0
20,0,CAT20DS,6.0,4.7,7.0,3.0,5.0,5.0,5.0,4.75,4.142857142857143
20,0,DOG20DS,1.5,3.6,7.0,4.0,4.0,4.0,3.0,3.0,4.428571428571429
21,1,DOG21DS,5.75,4.0,6.333333333333333,4.5,5.0,5.0,5.0,4.0,3.7142857142857144
21,1,CAT21DS,1.25,2.2,3.3333333333333335,3.0,3.0,3.25,2.5,3.0,3.142857142857143
