Proximity_Bias,Comm_Effectiveness,Info_Exchange,Social_Cohesion,Satisfaction,Trust,Subj_Connection,Viability,Psych_Safety,Session_Id,Condition,Participant_Id,Environment_Work,Environment,Usability_VR,Manipulation_Check
1.0769230769230769,1.125,1.1666666666666667,1.0,1.0,0.9333333333333333,1.1428571428571428,1.1538461538461537,1.0,1,0,CAT1DS,6.0,3.7142857142857135,3.0,5.0
1.5833333333333333,1.259259259259259,1.1333333333333333,1.5,1.0,1.1,1.4,1.1428571428571428,1.3888888888888888,1,0,DOG1DS,5.75,3.2857142857142856,4.3,5.0
1.5454545454545454,1.05,1.0,1.25,1.0,1.0,1.1428571428571428,0.95,1.076923076923077,2,1,DOG2DS,6.25,3.857142857142857,3.6,4.0
4.0,1.44,1.0,1.6666666666666667,1.0,1.25,1.3333333333333333,1.0,1.0740740740740742,2,1,CAT2DS,6.0,3.4285714285714284,3.4,5.0
1.0909090909090908,1.0,1.0,1.1666666666666667,1.0,1.0,1.0,1.0,0.9714285714285713,3,0,DOG3DS,6.75,4.714285714285714,4.4,5.0
1.8888888888888888,1.153846153846154,1.0,1.0,1.0,1.0555555555555556,1.3333333333333333,1.2666666666666666,0.9705882352941178,3,0,CAT3DS,7.0,4.571428571428571,4.3,5.0
1.75,1.090909090909091,1.0666666666666667,0.6666666666666666,1.2000000000000002,1.0,1.75,0.9230769230769231,1.0454545454545454,4,1,CAT4DS,3.5,3.142857142857143,2.2,3.0
1.5,1.8,2.8333333333333335,0.8571428571428571,1.090909090909091,1.2,3.0,1.1666666666666667,1.0,4,1,DOG4DS,5.0,3.2857142857142856,2.5,4.0
1.0588235294117647,1.25,0.9333333333333333,1.1666666666666667,1.0,1.7777777777777777,1.0,1.1428571428571428,1.0833333333333333,5,0,DOG5DS,3.25,3.0,3.1,4.0
1.3333333333333333,1.1212121212121213,1.0,1.5,0.9333333333333333,1.0714285714285714,1.2,0.9444444444444444,1.0,5,0,CAT5DS,5.5,3.857142857142857,3.0,5.0
1.4444444444444444,1.3599999999999999,1.3333333333333333,0.75,1.3,1.1,1.4,1.1666666666666667,1.0,6,0,DOG6DS,5.25,3.7142857142857135,3.3,4.0
1.5,1.2903225806451613,1.3333333333333335,1.3333333333333333,1.1666666666666667,1.1,1.8,1.2,1.0344827586206895,6,0,CAT6DS,6.75,4.142857142857143,3.0,5.0
3.3333333333333335,2.1904761904761902,2.3333333333333335,1.6666666666666667,1.25,2.25,1.5,1.3333333333333333,1.35,7,0,DOG7DS,6.0,3.7142857142857135,4.0,5.0
1.4375,1.3055555555555556,1.3125,1.2,1.25,1.25,1.2,1.1875,1.0714285714285714,7,0,CAT7DS,6.0,3.571428571428572,4.5,5.0
1.25,1.2222222222222223,1.1666666666666667,1.2857142857142858,1.0,1.0,1.3333333333333333,1.1875,1.1034482758620687,8,1,DOG8DS,6.25,3.571428571428572,3.7,5.0
1.75,0.9565217391304349,1.0526315789473686,1.6666666666666667,1.0,1.1538461538461537,1.1428571428571428,1.0,0.9655172413793103,8,1,CAT8DS,6.75,4.142857142857143,3.9,5.0
1.4285714285714286,1.346153846153846,1.0714285714285714,0.75,1.0,1.0,0.875,1.0,1.0833333333333333,9,1,CAT9DS,4.25,3.7142857142857135,2.7,3.0
2.0,1.3333333333333333,1.2500000000000002,1.0,1.0,0.8666666666666667,2.0,1.4,1.0869565217391306,10,0,DOG10Ds,5.75,4.142857142857143,3.1,5.0
1.625,1.0571428571428572,1.357142857142857,1.25,1.0,1.1538461538461537,1.0,1.0,1.037037037037037,10,0,CAT10DS,5.75,4.0,3.7,4.0
2.142857142857143,1.3142857142857143,1.0,2.0,1.25,1.3,2.0,1.3571428571428572,1.076923076923077,11,0,DOG11DS,6.25,4.0,3.0,4.0
2.3,1.0465116279069768,1.2352941176470587,1.6666666666666667,1.0,1.0,1.2857142857142858,1.0555555555555556,1.0689655172413792,11,0,CAT11DS,6.75,4.142857142857143,4.8,5.0
1.0,1.0526315789473684,1.0,1.1666666666666667,1.0,1.0,1.0,1.0,1.0,12,0,CAT12DS,6.0,3.857142857142857,3.9,5.0
1.2222222222222223,1.0344827586206897,1.0,1.25,1.0,1.1666666666666667,1.2,1.0,1.0,12,0,DOG12DS,4.75,3.2857142857142856,4.3,4.0
0.8666666666666667,0.8857142857142858,1.0588235294117647,1.0,1.153846153846154,0.9375,0.8333333333333334,1.0,1.0357142857142858,13,1,CAT13DS,4.75,3.571428571428572,3.1,5.0
1.0,1.096774193548387,1.0588235294117647,1.0,1.25,1.0769230769230769,1.3333333333333333,1.1538461538461537,0.9310344827586207,14,1,DOG14DS,4.0,3.4285714285714284,3.5,4.0
1.4545454545454546,1.4516129032258065,1.5,1.5,1.0,1.2307692307692308,1.1666666666666667,1.2307692307692308,1.0,14,1,CAT14DS,5.25,4.0,4.2,5.0
1.2352941176470589,1.1904761904761905,1.2352941176470587,1.0,1.0,1.25,1.3333333333333333,1.1875,0.9230769230769232,15,1,DOG15DS,2.5,2.0,3.7,5.0
1.2857142857142858,1.0930232558139537,1.0,1.5,1.25,1.125,1.0,1.2857142857142858,0.8387096774193546,15,1,cat15ds,5.0,3.857142857142857,3.8,5.0
1.2352941176470589,1.0638297872340425,1.0,1.0,1.25,1.0,1.1428571428571428,0.8421052631578947,1.1153846153846156,16,1,CAT16DS,6.25,3.0,3.4,5.0
1.6363636363636365,1.5833333333333333,2.25,1.5,1.25,1.25,1.6,1.25,1.0384615384615388,16,1,DOG16DS,4.25,2.857142857142857,2.8,5.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,1,CAT17DS,7.0,4.428571428571429,3.1,5.0
1.0769230769230769,1.0,1.0,0.9,1.0,1.0,1.1111111111111112,0.95,0.9714285714285713,17,1,DoG17_DS,6.0,3.7142857142857135,3.0,5.0
1.5,1.4482758620689655,1.1666666666666667,1.0,1.0,1.0833333333333333,1.2,0.95,0.9714285714285713,18,1,DOG18DS,6.5,5.0,4.3,5.0
1.0,1.6800000000000002,1.0555555555555556,1.0,1.0,1.0,1.2,0.875,0.9642857142857143,18,1,CAT18DS,3.75,2.7142857142857144,1.6,4.0
1.4,1.1111111111111112,1.0,1.0,1.0,0.9375,1.2,1.0,1.0,19,0,DOG19DS,5.0,4.0,4.0,4.0
1.0,1.0638297872340425,1.0,1.6666666666666667,1.0,1.0,1.0,1.0526315789473684,1.1724137931034482,20,0,CAT20DS,7.0,4.428571428571429,4.2,5.0
1.1666666666666667,1.1388888888888888,1.0,1.0,1.0,0.875,1.0,0.6666666666666666,0.9677419354838709,20,0,DOG20DS,6.0,3.7142857142857135,3.3,4.0
0.6521739130434783,0.975,1.105263157894737,0.7777777777777778,0.8,0.65,0.6,0.9375,1.0,21,1,DOG21DS,6.0,3.857142857142857,3.6,4.0
1.2,1.727272727272727,1.6,1.0,1.3333333333333333,1.0,1.2,1.0,1.0,21,1,CAT21DS,4.0,3.2857142857142856,3.3,4.0
